行政區,類型,學校,2歲,3歲,4歲,5歲,3-5歲,電話
七股區,公幼,三股國小附設幼兒園,7,,,,,
七股區,公幼,竹橋國小附設幼兒園,,,,,5,
七股區,公幼,後港國小附設幼兒園,,,,,7,
七股區,公幼,篤加國小附設幼兒園,,,,,4,
七股區,公幼,七股國小附設幼兒園,,,,,,
七股區,非營利,七農非營利幼兒園,3,,,,3,
下營區,公幼,下營國小附設幼兒園,,,,,18,
下營區,公幼,中營國小附設幼兒園,1,,,,,
下營區,公幼,東興國小附設幼兒園,,,,,,
下營區,公幼,賀建國小附設幼兒園,,,,,,
下營區,準公共,小圓圓幼兒園,,,,,,
大內區,公幼,大內國小附設幼兒園,,,,,,
大內區,公幼,二溪國小附設幼兒園,,,,,5,
山上區,公幼,山上國小附設幼兒園,,,,,,
中西區,公幼,臺南市立第一幼兒園,,,,,15,
中西區,公幼,成功國小附設幼兒園,,,,,31,
中西區,公幼,忠義國小附設幼兒園,,,,,,
中西區,公幼,進學國小附設幼兒園,,,,,7,
中西區,公幼,協進國小附設幼兒園,4,,,,,
中西區,公幼,中山國中附設幼兒園,,,,,15,
中西區,準公共,衛理幼兒園,4,6,2,,,
中西區,準公共,佳恩幼兒園,4,3,5,,,
中西區,準公共,武聖幼兒園,7,7,6,,,
中西區,準公共,新大華幼兒園,5,9,,,,
中西區,準公共,愛迪生資優幼兒園,,3,,1,,
仁德區,公幼,德南國小附設幼兒園,7,,,,,
仁德區,公幼,依仁國小附設幼兒園,,,,,10,
仁德區,公幼,大甲國小附設幼兒園,,,,,6,
仁德區,公幼,臺南市立仁德幼兒園,21,,,,,
仁德區,公幼,仁和國小附設幼兒園,,,,,9,
仁德區,公幼,長興國小附設幼兒園,6,,,,,
仁德區,公幼,文賢國小附設幼兒園,4,,,,1,
仁德區,準公共,明日之星幼兒園,1,,2,4,,
仁德區,準公共,初日幼兒園,,,,,,
仁德區,準公共,仁義幼兒園,9,5,1,,,
仁德區,準公共,聖母幼兒園,21,24,12,8,,
仁德區,準公共,大宗幼兒園,2,10,3,1,,
仁德區,準公共,鴻仁幼兒園,8,7,16,8,,
仁德區,準公共,仁德聖兒幼兒園,14,3,,,,
仁德區,準公共,熊寶寶幼兒園,,8,9,,,
仁德區,準公共,洧昇幼兒園,9,8,16,16,,
六甲區,公幼,六甲國小附設幼兒園,,,,,6,
六甲區,公幼,林鳳國小附設幼兒園,,,,,3,
六甲區,公幼,嘉南國小附設幼兒園,,,,,8,
六甲區,準公共,佑幼幼兒園,9,7,3,6,,
六甲區,準公共,哈比斯特幼兒園,7,11,7,1,,
六甲區,準公共,安心幼兒園,23,,9,9,,
北門區,公幼,北門國小附設幼兒園,,,,,,
北門區,公幼,蚵寮國小附設幼兒園,,,,,11,
北門區,公幼,錦湖國小附設幼兒園,,,,,4,
北門區,準公共,北門區農會附設幼兒園,12,10,5,,,
北區,公幼,臺南市立小康幼兒園,3,,,,,
北區,公幼,立人國小附設幼兒園,,,,,,
北區,公幼,開元國小附設幼兒園,,,,,15,
北區,公幼,大光國小附設幼兒園,7,,,,7,
北區,公幼,公園國小附設幼兒園,,,,,1,
北區,公幼,文元國小附設幼兒園,,,,,,
北區,公幼,大港國小附設幼兒園,,,,,,
北區,公幼,賢北國小附設幼兒園,,,,,7,
北區,準公共,開元幼兒園,8,13,10,8,,
北區,準公共,正覺幼兒園,38,14,23,10,,
北區,準公共,而勇幼兒園,,26,8,1,,
北區,準公共,皇佳幼兒園,3,,19,10,,
北區,準公共,柏欣幼兒園,13,13,10,,,
北區,準公共,樂兒學幼兒園,3,,,,,
北區,準公共,崑山高中附設臺南市國際幼兒園,,,,,,
北區,準公共,哈波特幼兒園,56,44,63,19,,
北區,準公共,德妮湖美幼兒園,,,,,,
北區,準公共,康德爾幼兒園,5,4,4,1,,
北區,準公共,沛愛幼兒園,3,9,3,,,
北區,準公共,群力幼兒園,1,12,7,,,
北區,準公共,葛瑞特幼兒園,13,9,8,,,
北區,準公共,天資幼兒園,9,24,25,14,,
北區,準公共,向日葵幼兒園,14,37,25,6,,
左鎮區,公幼,左鎮國小附設幼兒園,,,,,,
左鎮區,公幼,光榮實驗小學附設幼兒園,,,,,3,
永康區,公幼,永康勝利國小附設幼兒園,,,,,,
永康區,公幼,永康國小附設幼兒園,,,,,38,
永康區,公幼,大灣國小附設幼兒園,2,,,,,
永康區,公幼,西勢國小附設幼兒園,,,,,2,
永康區,公幼,永康復興國小附設幼兒園,,,,,1,
永康區,公幼,龍潭國小附設幼兒園,,,,,13,
永康區,公幼,大橋國小附設幼兒園,,,,,8,
永康區,公幼,崑山國小附設幼兒園,,,,,3,
永康區,公幼,五王國小附設幼兒園,,,,,,
永康區,公幼,三村國小附設幼兒園,,,,,,
永康區,公幼,永信國小附設幼兒園,,,,,21,
永康區,非營利,永仁非營利幼兒園,2,,,,0,
永康區,準公共,資優生幼兒園,,,,,,
永康區,準公共,卓越幼兒園,,,,,,
永康區,準公共,青蘋果幼兒園,,13,19,3,,
永康區,準公共,聖心幼兒園,3,16,13,14,,
永康區,準公共,輔仁幼兒園,,,,,,
永康區,準公共,愛幼幼兒園,13,2,,1,,
永康區,準公共,中華幼兒園,3,17,12,10,,
永康區,準公共,幼華幼兒園,,,2,,,
永康區,準公共,艾迪斯幼兒園,,,6,9,,
永康區,準公共,上恩幼兒園,2,22,7,10,,
永康區,準公共,幼幼世界幼兒園,,,,,,
永康區,準公共,永康文心幼兒園,,,4,,,
永康區,準公共,永強繪本藝術幼兒園,,5,,,,
永康區,準公共,育智幼兒園,,,13,,,
永康區,準公共,非凡幼兒園,,,,,,
永康區,準公共,英格堡幼兒園,,,,,,
永康區,準公共,萊恩幼兒園,,,8,1,,
永康區,準公共,派樂特幼兒園,31,37,30,1,,
永康區,準公共,敦煌幼兒園,1,,,,,
永康區,準公共,智全幼兒園,,,8,,,
永康區,準公共,新生代幼兒園,4,9,3,4,,
永康區,準公共,傑登幼兒園,,,,,,
永康區,準公共,至真幼兒園,,16,9,1,,
永康區,準公共,吉得堡幼兒園,2,8,6,4,,
永康區,準公共,凱迪斯幼兒園,1,4,7,,,
