行政區,類型,學校,2歲,3-5歲,錄取1(2歲),錄取1(3-5歲),備取1(2歲),備取1(3-5歲)
南區,公幼,臺南市立第二幼兒園,,27,0,6,0,0
南區,公幼,臺南市立第二幼兒園明德分班,8,6,4,2,0,0
南區,公幼,日新國小附設幼兒園,14,14,14,13,5,0
南區,公幼,龍崗國小附設幼兒園,,6,0,3,0,0
南區,公幼,省躬國小附設幼兒園,16,17,8,12,0,0
南區,公幼,永華國小附設幼兒園,28,5,17,5,0,5
南區,公幼,新興國小附設幼兒園,29,1,29,1,3,7
南區,非營利,擇仁非營利幼兒園,8,12,8,7,9,0
南區,非營利,水交社非營利幼兒園,16,34,16,15,9,0
後壁區,公幼,菁寮國小附設幼兒園,,4,0,2,0,0
後壁區,公幼,後壁國小附設幼兒園,7,9,7,8,4,0
後壁區,公幼,安溪國小附設幼兒園,,11,0,3,0,0
後壁區,公幼,新東國小附設幼兒園,7,2,1,2,0,3
後壁區,公幼,新嘉國小附設幼兒園,,4,0,0,0,0
柳營區,公幼,柳營國小附設幼兒園,,11,0,5,0,0
柳營區,公幼,果毅國小附設幼兒園,,5,0,1,0,0
柳營區,公幼,重溪國小附設幼兒園,7,8,5,2,0,0
柳營區,公幼,太康國小附設幼兒園,,10,0,4,0,0
柳營區,公幼,新山國小附設幼兒園,,5,0,1,0,0
將軍區,公幼,漚汪國小附設幼兒園,,13,0,13,0,0
將軍區,公幼,鯤鯓國小附設幼兒園,,16,0,2,0,0
將軍區,公幼,臺南市立將軍幼兒園,29,2,7,2,0,2
將軍區,公幼,將軍國小附設幼兒園,,11,0,0,0,0
將軍區,公幼,苓和國小附設幼兒園,,5,0,2,0,0
麻豆區,公幼,安業國小附設幼兒園,,5,0,3,0,0
麻豆區,公幼,麻豆國小附設幼兒園,16,8,16,8,7,9
麻豆區,公幼,文正國小附設幼兒園,,11,0,3,0,0
麻豆區,公幼,北勢國小附設幼兒園,,10,0,3,0,0
麻豆區,公幼,大山國小附設幼兒園,,10,0,5,0,0
麻豆區,公幼,培文國小附設幼兒園,8,11,8,11,7,2
麻豆區,公幼,臺南市立麻豆幼兒園,29,18,29,18,11,0
麻豆區,公幼,紀安國小附設幼兒園,,4,0,0,0,0
麻豆區,公幼,港尾國小附設幼兒園,,13,0,4,0,0
麻豆區,非營利,西拉雅非營利幼兒園,16,7,16,7,46,12
善化區,公幼,善化國小附設幼兒園,,15,0,4,0,0
善化區,公幼,茄拔國小附設幼兒園,16,36,16,25,10,0
善化區,公幼,善化大同國小附設幼兒園,,25,0,10,0,0
善化區,公幼,大成國小附設幼兒園,,28,0,28,0,1
善化區,公幼,陽明國小附設幼兒園,,30,0,17,0,0
善化區,公幼,善糖國小附設幼兒園,,14,0,2,0,0
善化區,公幼,小新國小附設幼兒園,8,0,8,0,18,0
善化區,公幼,蓮潭國中小附設幼兒園,,23,0,23,0,21
新化區,公幼,正新國小附設幼兒園,16,16,7,10,0,0
新化區,公幼,新化國小附設幼兒園,14,10,4,6,0,0
新化區,公幼,那拔國小附設幼兒園,14,3,8,3,0,0
新化區,公幼,大新國小附設幼兒園,16,9,11,9,0,1
新市區,公幼,新市國小附設幼兒園,16,0,15,0,0,2
新市區,公幼,大社國小附設幼兒園,16,11,16,11,5,2
新市區,公幼,臺南市立新市幼兒園,49,9,49,9,30,41
新市區,非營利,聯苑員工子女非營利幼兒園,0,0,0,0,0,0
新市區,非營利,南科管理局非營利幼兒園,0,0,0,0,0,0
新營區,公幼,新營國小附設幼兒園,,43,0,18,0,0
新營區,公幼,新民國小附設幼兒園,,19,0,13,0,0
新營區,公幼,新營新興國小附設幼兒園,,2,0,1,0,0
新營區,公幼,新進國小附設幼兒園,,26,0,11,0,0
新營區,公幼,南梓實驗小學附設幼兒園,16,3,15,3,0,2
新營區,公幼,土庫國小附設幼兒園,,10,0,1,0,0
新營區,公幼,公誠國小附設幼兒園,16,0,15,0,0,1
新營區,公幼,新泰國小附設幼兒園,8,18,8,18,8,0
新營區,公幼,新生國小附設幼兒園,,6,0,0,0,0
新營區,非營利,南新非營利幼兒園,32,2,32,2,21,12
楠西區,公幼,楠西國小附設幼兒園,,7,0,4,0,0
學甲區,公幼,學甲國小附設幼兒園,,13,0,12,0,0
學甲區,公幼,東陽國小附設幼兒園,,10,0,10,0,5
學甲區,公幼,臺南市立學甲幼兒園,32,3,26,3,0,4
學甲區,公幼,宅港國小附設幼兒園,,2,0,2,0,1
學甲區,公幼,中洲國小附設幼兒園,,4,0,4,0,0
學甲區,公幼,頂洲國小附設幼兒園,,3,0,3,0,1
學甲區,非營利,慈母非營利幼兒園,14,11,0,0,0,0
龍崎區,公幼,龍崎國小附設幼兒園,,8,0,0,0,0
歸仁區,公幼,大潭國小附設幼兒園,,10,0,8,0,0
歸仁區,公幼,歸仁國小附設幼兒園,8,10,8,8,3,0
歸仁區,公幼,保西國小附設幼兒園,8,4,8,4,0,8
歸仁區,公幼,臺南市立歸仁幼兒園,15,4,15,4,6,5
歸仁區,公幼,歸南國小附設幼兒園,5,17,5,9,4,0
歸仁區,公幼,文化國小附設幼兒園,,18,0,9,0,0
歸仁區,公幼,沙崙高中附設幼兒園,,45,0,34,0,0
關廟區,公幼,關廟國小附設幼兒園,5,3,5,3,1,1
關廟區,公幼,五甲國小附設幼兒園,8,12,7,1,0,0
關廟區,公幼,文和實驗小學附設幼兒園,,5,0,2,0,0
關廟區,公幼,崇和國小附設幼兒園,,2,0,0,0,0
關廟區,公幼,臺南市立關廟幼兒園,16,6,16,6,0,0
關廟區,公幼,深坑國小附設幼兒園,,3,0,3,0,0
關廟區,公幼,保東國小附設幼兒園,,13,0,4,0,0
鹽水區,公幼,鹽水國小附設幼兒園,16,13,11,13,0,2
鹽水區,公幼,歡雅國小附設幼兒園,,12,0,2,0,0
鹽水區,公幼,坔頭港國小附設幼兒園,,12,0,1,0,0
鹽水區,公幼,岸內國小附設幼兒園,,7,0,2,0,0
鹽水區,公幼,文昌國小附設幼兒園,,14,0,1,0,0
鹽水區,公幼,月津國小附設幼兒園,9,5,9,4,0,0
鹽水區,公幼,竹埔國小附設幼兒園,,9,0,4,0,0
鹽水區,公幼,仁光國小附設幼兒園,,15,0,2,0,0
