行政區,類型,學校,2歲,3-5歲,錄取1(2歲),錄取1(3-5歲),備取1(2歲),備取1(3-5歲)
七股區,公幼,三股國小附設幼兒園,8,0,0,0,0,0
七股區,公幼,竹橋國小附設幼兒園,,7,0,4,0,0
七股區,公幼,後港國小附設幼兒園,,12,0,1,0,0
七股區,公幼,篤加國小附設幼兒園,,4,0,0,0,0
七股區,公幼,七股國小附設幼兒園,,5,0,5,0,0
七股區,非營利,七農非營利幼兒園,15,2,13,2,0,3
下營區,公幼,下營國小附設幼兒園,,24,0,7,0,0
下營區,公幼,中營國小附設幼兒園,8,0,1,0,0,4
下營區,公幼,東興國小附設幼兒園,15,0,15,0,11,1
下營區,公幼,賀建國小附設幼兒園,,2,0,0,0,0
大內區,公幼,大內國小附設幼兒園,,19,0,8,0,0
大內區,公幼,二溪國小附設幼兒園,,9,0,4,0,0
山上區,公幼,山上國小附設幼兒園,,9,0,4,0,0
中西區,公幼,臺南市立第一幼兒園,13,22,13,4,1,0
中西區,公幼,成功國小附設幼兒園,,35,0,2,0,0
中西區,公幼,忠義國小附設幼兒園,,16,0,16,0,3
中西區,公幼,進學國小附設幼兒園,,25,0,7,0,0
中西區,公幼,協進國小附設幼兒園,32,21,21,14,0,0
中西區,公幼,中山國中附設幼兒園,,17,0,3,0,0
仁德區,公幼,德南國小附設幼兒園,16,8,7,8,0,3
仁德區,公幼,依仁國小附設幼兒園,,16,0,2,0,0
仁德區,公幼,大甲國小附設幼兒園,,14,0,4,0,0
仁德區,公幼,臺南市立仁德幼兒園,48,8,23,8,0,3
仁德區,公幼,仁和國小附設幼兒園,,15,0,6,0,0
仁德區,公幼,長興國小附設幼兒園,16,0,10,0,0,4
仁德區,公幼,文賢國小附設幼兒園,16,4,8,1,0,0
六甲區,公幼,六甲國小附設幼兒園,16,29,16,10,2,0
六甲區,公幼,林鳳國小附設幼兒園,,16,0,1,0,0
六甲區,公幼,嘉南國小附設幼兒園,,12,0,2,0,0
北門區,公幼,北門國小附設幼兒園,,1,0,1,0,0
北門區,公幼,蚵寮國小附設幼兒園,,14,0,3,0,0
北門區,公幼,錦湖國小附設幼兒園,,5,0,1,0,0
北區,公幼,臺南市立小康幼兒園,16,5,7,4,0,0
北區,公幼,立人國小附設幼兒園,61,15,61,15,14,17
北區,公幼,開元國小附設幼兒園,,39,0,15,0,0
北區,公幼,大光國小附設幼兒園,5,36,5,16,10,0
北區,公幼,公園國小附設幼兒園,16,27,16,9,0,0
北區,公幼,文元國小附設幼兒園,,11,0,11,0,6
北區,公幼,大港國小附設幼兒園,13,12,13,12,5,6
北區,公幼,賢北國小附設幼兒園,,13,0,5,0,0
左鎮區,公幼,左鎮國小附設幼兒園,,6,0,6,0,2
左鎮區,公幼,光榮實驗小學附設幼兒園,,6,0,2,0,0
永康區,公幼,永康勝利國小附設幼兒園,8,8,5,8,0,1
永康區,公幼,永康國小附設幼兒園,,77,0,36,0,0
永康區,公幼,大灣國小附設幼兒園,16,10,15,9,0,0
永康區,公幼,西勢國小附設幼兒園,,10,0,5,0,0
永康區,公幼,永康復興國小附設幼兒園,,30,0,11,0,0
永康區,公幼,龍潭國小附設幼兒園,16,26,16,10,13,0
永康區,公幼,大橋國小附設幼兒園,,28,0,15,0,0
永康區,公幼,崑山國小附設幼兒園,11,18,11,12,6,0
永康區,公幼,五王國小附設幼兒園,10,11,10,11,9,5
永康區,公幼,三村國小附設幼兒園,,23,0,23,0,8
永康區,公幼,永信國小附設幼兒園,,30,0,4,0,0
永康區,非營利,永仁非營利幼兒園,26,11,26,11,6,4
玉井區,公幼,層林國小附設幼兒園,,2,0,0,0,0
玉井區,公幼,玉井國小附設幼兒園,10,11,2,4,0,0
白河區,公幼,竹門國小附設幼兒園,,16,0,1,0,0
白河區,公幼,白河國小附設幼兒園,8,9,6,9,0,4
白河區,公幼,玉豐國小附設幼兒園,,5,0,1,0,0
白河區,公幼,內角國小附設幼兒園,,6,0,1,0,0
白河區,公幼,河東國小附設幼兒園,,14,0,3,0,0
白河區,公幼,大竹國小附設幼兒園,,7,0,1,0,0
白河區,公幼,仙草實驗小學附設幼兒園,,5,0,3,0,0
安平區,公幼,安平國小附設幼兒園,30,18,15,11,0,0
安平區,公幼,臺南市立第三幼兒園,26,0,26,0,10,1
安平區,公幼,新南國小附設幼兒園,16,23,16,23,13,1
安平區,公幼,石門國小附設幼兒園,,7,0,3,0,0
安平區,公幼,億載國小附設幼兒園,,16,0,16,0,24
安平區,非營利,市政府員工子女非營利幼兒園,8,38,0,0,0,0
安定區,公幼,安定國小附設幼兒園,,26,0,9,0,0
安定區,公幼,南安國小附設幼兒園,8,10,2,2,0,0
安定區,公幼,安定南興國小附設幼兒園,,16,0,2,0,0
安南區,公幼,臺南市立第四幼兒園,58,0,58,0,86,18
安南區,公幼,臺南市立第四幼兒園安順分班,,16,0,16,0,6
安南區,公幼,臺南市立第四幼兒園州南分班,,7,0,3,0,0
安南區,公幼,臺南市立第四幼兒園大同分班,16,0,16,0,0,0
安南區,公幼,臺南市立第六幼兒園,8,1,5,1,0,0
安南區,公幼,臺南市立第六幼兒園城南分班,7,2,4,2,0,0
安南區,公幼,和順國小附設幼兒園,16,5,5,5,0,3
安南區,公幼,海東國小附設幼兒園,,43,0,21,0,0
安南區,公幼,安慶國小附設幼兒園,15,17,13,17,0,1
安南區,公幼,安順國小附設幼兒園,16,23,11,8,0,0
安南區,公幼,顯宮國小附設幼兒園,,7,0,3,0,0
安南區,公幼,青草國小附設幼兒園,,15,0,0,0,0
安南區,公幼,安佃國小附設幼兒園,,13,0,3,0,0
安南區,公幼,鎮海國小附設幼兒園,,7,0,0,0,0
安南區,公幼,長安國小附設幼兒園,,11,0,11,0,0
安南區,公幼,土城國小附設幼兒園,,7,0,2,0,0
安南區,公幼,學東國小附設幼兒園,,12,0,1,0,0
安南區,公幼,海佃國中附設幼兒園,,13,0,6,0,0
安南區,公幼,南興國小附設幼兒園,,11,0,4,0,0
安南區,公幼,九份子國中小附設幼兒園,,19,0,19,0,7
安南區,非營利,崑山土城非營利幼兒園,15,11,15,2,5,0
安南區,非營利,中信員工子女非營利幼兒園,42,40,29,6,0,0
西港區,公幼,西港國小附設幼兒園,,4,0,4,0,7
西港區,公幼,西港成功國小附設幼兒園,5,1,5,1,0,2
西港區,公幼,後營國小附設幼兒園,8,14,2,5,0,0
西港區,公幼,港東國小附設幼兒園,,15,0,2,0,0
佳里區,公幼,通興國小附設幼兒園,,1,0,1,0,0
佳里區,公幼,佳里國小附設幼兒園,,17,0,17,0,5
佳里區,公幼,佳興國小附設幼兒園,15,5,15,5,8,1
佳里區,公幼,仁愛國小附設幼兒園,,22,0,10,0,0
佳里區,公幼,延平國小附設幼兒園,,9,0,2,0,0
佳里區,公幼,子龍國小附設幼兒園,,22,0,9,0,0
佳里區,公幼,塭內國小附設幼兒園,,14,0,14,0,2
佳里區,公幼,信義國小附設幼兒園,,13,0,5,0,0
佳里區,非營利,伯利恆佳里非營利幼兒園,14,32,0,0,0,0
官田區,公幼,官田國小附設幼兒園,,8,0,5,0,0
官田區,公幼,渡拔國小附設幼兒園,,10,0,1,0,0
官田區,公幼,隆田國小附設幼兒園,8,11,8,11,11,5
東山區,公幼,東山國小附設幼兒園,15,1,7,0,0,0
東山區,公幼,東原國小附設幼兒園,,12,0,1,0,0
東山區,公幼,青山國小附設幼兒園,,16,0,0,0,0
東山區,公幼,吉貝耍國小附設幼兒園,,7,0,0,0,0
東山區,公幼,聖賢國小附設幼兒園,,7,0,0,0,0
東區,公幼,博愛國小附設幼兒園,16,23,6,5,0,0
東區,公幼,崇明國小附設幼兒園,8,4,8,4,15,11
東區,公幼,崇學國小附設幼兒園,,26,0,26,0,1
東區,公幼,復興國小附設幼兒園,,42,0,34,0,0
東區,公幼,大同國小附設幼兒園,,8,0,6,0,0
東區,公幼,德高國小附設幼兒園,,18,0,4,0,0
東區,公幼,勝利國小附設幼兒園,,24,0,12,0,0
東區,公幼,東光國小附設幼兒園,30,18,30,18,19,8
東區,公幼,忠孝國中附設幼兒園,8,0,6,0,0,0
東區,非營利,全人裕文非營利幼兒園,63,81,0,0,0,0
東區,非營利,臺灣文學館員工子女非營利幼兒園,2,36,2,8,24,0
東區,非營利,成大員工子女非營利幼兒園,0,0,0,0,4,1
南化區,公幼,南化國小附設幼兒園,,13,0,6,0,0
南化區,公幼,北寮國小附設幼兒園,,7,0,1,0,0
南化區,公幼,瑞峰國小附設幼兒園,,5,0,0,0,0
南區,公幼,喜樹國小附設幼兒園,16,36,5,5,0,0
