行政區,類型,學校,2歲,3-5歲,錄取1(2歲),錄取1(3-5歲),備取1(2歲),備取1(3-5歲)
七股區,公幼,三股國小附設幼兒園,8,0,0,0,0,0
七股區,公幼,竹橋國小附設幼兒園,,3,0,0,0,0
七股區,公幼,後港國小附設幼兒園,,11,0,0,0,0
七股區,公幼,篤加國小附設幼兒園,,4,0,1,0,0
七股區,公幼,七股國小附設幼兒園,,0,0,0,0,0
七股區,非營利,七農非營利幼兒園,6,1,2,0,0,0
下營區,公幼,下營國小附設幼兒園,,18,0,0,0,0
下營區,公幼,中營國小附設幼兒園,7,0,6,0,0,0
下營區,公幼,東興國小附設幼兒園,0,0,0,0,0,0
下營區,公幼,賀建國小附設幼兒園,,2,0,1,0,0
大內區,公幼,大內國小附設幼兒園,,11,0,0,0,0
大內區,公幼,二溪國小附設幼兒園,,5,0,1,0,0
山上區,公幼,山上國小附設幼兒園,,5,0,2,0,0
中西區,公幼,臺南市立第一幼兒園,0,18,0,1,0,0
中西區,公幼,成功國小附設幼兒園,,33,0,2,0,0
中西區,公幼,忠義國小附設幼兒園,,0,0,0,0,0
中西區,公幼,進學國小附設幼兒園,,19,0,0,0,0
中西區,公幼,協進國小附設幼兒園,12,7,7,4,0,0
中西區,公幼,中山國中附設幼兒園,,15,0,0,0,0
仁德區,公幼,德南國小附設幼兒園,9,0,2,0,0,0
仁德區,公幼,依仁國小附設幼兒園,,14,0,2,0,0
仁德區,公幼,大甲國小附設幼兒園,,10,0,0,0,0
仁德區,公幼,臺南市立仁德幼兒園,25,0,3,0,0,0
仁德區,公幼,仁和國小附設幼兒園,,9,0,0,0,0
仁德區,公幼,長興國小附設幼兒園,7,0,1,0,0,0
仁德區,公幼,文賢國小附設幼兒園,9,3,6,1,0,0
六甲區,公幼,六甲國小附設幼兒園,0,19,0,1,0,0
六甲區,公幼,林鳳國小附設幼兒園,,15,0,0,0,0
六甲區,公幼,嘉南國小附設幼兒園,,10,0,2,0,0
北門區,公幼,北門國小附設幼兒園,,0,0,0,0,0
北門區,公幼,蚵寮國小附設幼兒園,,11,0,0,0,0
北門區,公幼,錦湖國小附設幼兒園,,5,0,1,0,0
北區,公幼,臺南市立小康幼兒園,9,2,9,2,0,2
北區,公幼,立人國小附設幼兒園,0,0,0,0,0,0
北區,公幼,開元國小附設幼兒園,,26,0,8,0,0
北區,公幼,大光國小附設幼兒園,0,22,0,10,0,0
北區,公幼,公園國小附設幼兒園,2,19,2,4,0,0
北區,公幼,文元國小附設幼兒園,,0,0,0,0,0
北區,公幼,大港國小附設幼兒園,0,0,0,0,0,0
北區,公幼,賢北國小附設幼兒園,,8,0,1,0,0
左鎮區,公幼,左鎮國小附設幼兒園,,0,0,0,0,0
左鎮區,公幼,光榮實驗小學附設幼兒園,,4,0,1,0,0
永康區,公幼,永康勝利國小附設幼兒園,3,0,1,0,0,0
永康區,公幼,永康國小附設幼兒園,,42,0,5,0,0
永康區,公幼,大灣國小附設幼兒園,3,1,0,1,0,0
永康區,公幼,西勢國小附設幼兒園,,6,0,3,0,0
永康區,公幼,永康復興國小附設幼兒園,,19,0,2,0,0
永康區,公幼,龍潭國小附設幼兒園,0,17,0,2,0,0
永康區,公幼,大橋國小附設幼兒園,,12,0,2,0,0
永康區,公幼,崑山國小附設幼兒園,0,8,0,5,0,0
永康區,公幼,五王國小附設幼兒園,0,0,0,0,0,0
永康區,公幼,三村國小附設幼兒園,,0,0,0,0,0
永康區,公幼,永信國小附設幼兒園,,26,0,1,0,0
永康區,非營利,永仁非營利幼兒園,1,0,1,0,3,0
玉井區,公幼,層林國小附設幼兒園,,2,0,0,0,0
玉井區,公幼,玉井國小附設幼兒園,9,7,0,1,0,0
白河區,公幼,竹門國小附設幼兒園,,15,0,1,0,0
白河區,公幼,白河國小附設幼兒園,4,0,0,0,0,0
白河區,公幼,玉豐國小附設幼兒園,,4,0,2,0,0
白河區,公幼,內角國小附設幼兒園,,5,0,0,0,0
白河區,公幼,河東國小附設幼兒園,,11,0,0,0,0
白河區,公幼,大竹國小附設幼兒園,,6,0,2,0,0
白河區,公幼,仙草實驗小學附設幼兒園,,2,0,1,0,0
安平區,公幼,安平國小附設幼兒園,16,7,10,7,0,2
安平區,公幼,臺南市立第三幼兒園,0,0,0,0,0,0
安平區,公幼,新南國小附設幼兒園,0,0,0,0,0,0
安平區,公幼,石門國小附設幼兒園,,4,0,0,0,0
安平區,公幼,億載國小附設幼兒園,,0,0,0,0,0
安平區,非營利,市政府員工子女非營利幼兒園,0,34,0,0,0,0
安定區,公幼,安定國小附設幼兒園,,17,0,0,0,0
安定區,公幼,南安國小附設幼兒園,6,9,2,1,0,0
安定區,公幼,安定南興國小附設幼兒園,,14,0,3,0,0
安南區,公幼,臺南市立第四幼兒園,0,0,0,0,0,0
安南區,公幼,臺南市立第四幼兒園安順分班,,0,0,0,0,0
安南區,公幼,臺南市立第四幼兒園州南分班,,4,0,1,0,0
安南區,公幼,臺南市立第四幼兒園大同分班,0,0,0,0,0,0
安南區,公幼,臺南市立第六幼兒園,5,0,0,0,0,0
安南區,公幼,臺南市立第六幼兒園城南分班,3,1,0,0,0,0
