行政區,類型,幼兒園,可招生名額,登記名額,錄取名額,招生簡章網址,-
七股區,2歲,三股國小附設幼兒園,8,0,0,https://pse.is/4uuwg5,
七股區,3歲以上,七股國小附設幼兒園,8,4,0,https://pse.is/4uhbfv,
七股區,3歲以上,三股國小附設幼兒園,6,0,0,https://pse.is/4uuwg5,
七股區,3歲以上,竹橋國小附設幼兒園,9,0,0,https://pse.is/4t4p5g,
七股區,3歲以上,後港國小附設幼兒園,5,0,0,https://pse.is/4uy2ak,
七股區,3歲以上,篤加國小附設幼兒園,6,0,0,https://pse.is/4ut3jh,
下營區,2歲,中營國小附設幼兒園,8,2,0,https://pse.is/4q4cd3,
下營區,3歲以上,下營國小附設幼兒園,3,2,0,https://pse.is/4urywr,
下營區,3歲以上,中營國小附設幼兒園,3,7,0,https://pse.is/4q4cd3,
下營區,3歲以上,東興國小附設幼兒園,21,13,0,https://reurl.cc/Ge5GEZ,
下營區,3歲以上,賀建國小附設幼兒園,16,2,0,https://pse.is/4snz8n,
大內區,3歲以上,二溪國小附設幼兒園,9,0,0,https://pse.is/4wf2l5,
大內區,3歲以上,大內國小附設幼兒園,18,0,0,https://pse.is/4u553z,
山上區,3歲以上,山上國小附設幼兒園,30,9,0,https://pse.is/4v8jdl,
中西區,2歲,臺南市立第一幼兒園,10,0,0,https://pse.is/4usu6r,
中西區,3歲以上,中山國中附設幼兒園,13,0,0,https://pse.is/4wprgy,
中西區,3歲以上,成功國小附設幼兒園,32,0,0,https://pse.is/4u842f,
中西區,3歲以上,協進國小附設幼兒園,66,0,0,https://pse.is/4see2s,
中西區,3歲以上,忠義國小附設幼兒園,27,0,0,https://pse.is/4wlwb2,
中西區,3歲以上,進學國小附設幼兒園,32,0,0,https://pse.is/4u7286,
中西區,3歲以上,臺南市立第一幼兒園,5,0,0,https://pse.is/4usu6r,
仁德區,2歲,長興國小附設幼兒園,16,0,0,https://pse.is/4uqbup,
仁德區,2歲,臺南市立仁德幼兒園,48,0,0,https://pse.is/4tysnh,
仁德區,3歲以上,大甲國小附設幼兒園,14,0,0,https://pse.is/4uw3uy,
仁德區,3歲以上,仁和國小附設幼兒園,14,0,0,https://pse.is/4tbu6y,
