行政區,類型,幼兒園,可招生名額,登記名額,錄取名額,招生簡章網址,-
七股區,3歲以上,七股國小附設幼兒園,15,0,0,https://pse.is/435r4a,
七股區,3歲以上,三股國小附設幼兒園,20,5,5,https://pse.is/44e24u,
七股區,3歲以上,竹橋國小附設幼兒園,16,3,0,https://pse.is/443vlz,
七股區,3歲以上,後港國小附設幼兒園,3,2,2,https://pse.is/44cwyx,
七股區,3歲以上,篤加國小附設幼兒園,15,4,4,https://pse.is/3uqzp4,
下營區,3歲以上,下營國小附設幼兒園,40,15,15,https://www.syes.tn.edu.tw/,
下營區,3歲以上,中營國小附設幼兒園,26,11,11,https://pse.is/4283px,
下營區,3歲以上,東興國小附設幼兒園,27,21,21,https://reurl.cc/Mb9YXv,
下營區,3歲以上,賀建國小附設幼兒園,15,0,0,https://pse.is/3z7pwl,
大內區,3歲以上,二溪國小附設幼兒園,16,7,7,https://pse.is/44fzxe,
大內區,3歲以上,大內國小附設幼兒園,19,13,13,https://www.dnes.tn.edu.tw,
山上區,3歲以上,山上國小附設幼兒園,10,13,10,https://pse.is/436mhk,
中西區,2歲,臺南市立第一幼兒園,16,32,0,https://pse.is/43qk63,
中西區,3歲以上,中山國中附設幼兒園,23,6,5,https://tinyurl.com/ybu7gbcn,
中西區,3歲以上,成功國小附設幼兒園,45,12,12,https://pse.is/43gp4l,
中西區,3歲以上,協進國小附設幼兒園,101,47,47,https://pse.is/42tqv8,
中西區,3歲以上,忠義國小附設幼兒園,41,28,23,https://www.cies.tn.edu.tw/,
中西區,3歲以上,進學國小附設幼兒園,40,19,16,https://pse.is/44udny,
中西區,3歲以上,臺南市立第一幼兒園,38,24,24,https://pse.is/43qk63,
仁德區,2歲,長興國小附設幼兒園,16,16,16,https://reurl.cc/e6RbKm,
仁德區,2歲,臺南市立仁德幼兒園,13,36,13,https://reurl.cc/RjZKzZ,
仁德區,3歲以上,大甲國小附設幼兒園,11,6,6,https://pse.is/44jg3a,
仁德區,3歲以上,仁和國小附設幼兒園,15,7,6,https://pse.is/42senk,
仁德區,3歲以上,文賢國小附設幼兒園,12,8,8,https://reurl.cc/mGjQY9,
仁德區,3歲以上,依仁國小附設幼兒園,13,9,9,https://www.facebook.com/yirenkids/,
仁德區,3歲以上,長興國小附設幼兒園,22,9,9,https://reurl.cc/e6RbKm,
仁德區,3歲以上,臺南市立仁德幼兒園,132,50,47,https://reurl.cc/RjZKzZ,
仁德區,3歲以上,德南國小附設幼兒園,31,24,24,https://pse.is/44akb6,
六甲區,3歲以上,六甲國小附設幼兒園,72,31,0,https://pse.is/42f49s,
六甲區,3歲以上,林鳳國小附設幼兒園,10,9,8,https://pse.is/426eyb,
六甲區,3歲以上,嘉南國小附設幼兒園,13,5,5,https://pse.is/44acms,
北門區,3歲以上,北門國小附設幼兒園,12,1,1,https://pse.is/448sqb,
北門區,3歲以上,蚵寮國小附設幼兒園,21,2,2,https://pse.is/42ttnn,
北門區,3歲以上,錦湖國小附設幼兒園,7,1,1,https://pse.is/43bwky,
北門區,3歲以上,雙春國小附設幼兒園,11,0,0,https://pse.is/43aul2,
"北區 ",2歲,大光國小附設幼兒園,5,21,0,https://tinyurl.com/y974jzgd,
"北區 ",3歲以上,大光國小附設幼兒園,53,55,53,https://tinyurl.com/y974jzgd,
"北區 ",3歲以上,大港國小附設幼兒園,57,40,38,https://reurl.cc/mGA86G,
"北區 ",3歲以上,公園國小附設幼兒園,58,23,22,https://www.gyes.tn.edu.tw/,
"北區 ",3歲以上,文元國小附設幼兒園,16,30,16,https://pse.is/44venp,
"北區 ",3歲以上,立人國小附設幼兒園,74,56,56,https://pse.is/42dayd,
"北區 ",3歲以上,開元國小附設幼兒園,41,37,35,https://reurl.cc/Rj7omg,
"北區 ",3歲以上,臺南市立小康幼兒園,26,19,19,https://pse.is/42g9yt,
"北區 ",3歲以上,臺南市立小康幼兒園文元分班,10,4,4,https://pse.is/42g9yt,
"北區 ",3歲以上,賢北國小附設幼兒園,15,12,12,https://pse.is/43rgr8,
左鎮區,3歲以上,左鎮國小附設幼兒園,17,7,7,https://pse.is/42d7tz,
左鎮區,3歲以上,光榮國小附設幼兒園,18,5,5,https://pse.is/43gq84,
永康區,2歲,崑山國小附設幼兒園,13,21,0,https://ssur.cc/cEHj7S3r,
永康區,2歲,龍潭國小附設幼兒園,16,16,16,https://pse.is/3rsl5z,
永康區,3歲以上,三村國小附設幼兒園,27,54,27,https://reurl.cc/AKoM68,
永康區,3歲以上,大橋國小附設幼兒園,43,48,43,https://pse.is/42zmvc,
永康區,3歲以上,大灣國小附設幼兒園,47,30,30,https://pse.is/42zunn,
永康區,3歲以上,五王國小附設幼兒園,89,31,30,https://pse.is/44drqh,
